Set Number,Quantity
fig-012579,1
fig-012580,1
fig-003851,1
fig-004517,1
fig-003699,1
fig-004165,1
fig-016588,1
fig-016587,1
fig-004242,1
fig-004267,1
fig-016602,1
fig-003843,1
fig-015323,1
fig-004175,1
fig-003713,1
fig-004520,1
fig-003947,1
fig-004254,1
fig-004259,1
fig-014391,1
fig-001291,1
fig-003922,1
fig-004144,1
fig-004089,1
fig-014293,1
fig-010294,1
fig-004204,1
fig-015326,1
fig-003982,1
fig-003724,1
fig-015719,1
fig-003644,1
fig-003921,1
fig-001516,1
fig-003780,1
fig-004082,1
fig-004031,1
fig-014990,1
fig-003693,1
fig-004098,1
fig-003703,1
fig-003770,1
fig-001913,1
fig-003627,1
fig-003635,1
fig-003825,1
fig-015722,1
fig-007681,1
fig-004003,1
fig-003633,1
fig-003617,1
fig-003732,1
fig-003831,1
fig-010293,1
fig-003653,1
fig-004265,1
fig-003853,1
fig-004491,1
fig-003890,1
fig-004457,1
fig-014806,1
fig-003779,1
fig-012425,1
fig-003735,1
fig-016607,1
fig-004112,1
fig-003904,1
fig-003755,1
fig-003756,1
fig-000003,1
fig-004078,1
fig-014294,1
fig-004070,1
fig-004143,1
fig-004362,1
fig-015316,1
fig-014314,1
fig-015551,1
fig-010462,1
fig-010441,1
fig-004405,1
fig-004050,1
fig-004158,1
fig-014205,1
fig-012571,1
fig-015584,1
fig-003935,1
fig-003503,1
fig-010443,1
fig-002473,1
fig-004306,1
fig-002687,1
fig-004007,1
fig-012565,1
fig-003822,1
fig-003508,1
fig-003536,1
fig-003547,1
fig-003541,1
fig-013738,1
fig-012402,1
fig-003791,1
fig-004317,1
fig-003799,1
fig-003680,1
fig-004125,1
fig-003881,1
fig-003829,1
fig-002519,1
fig-004253,1
fig-004160,1
fig-004017,1
fig-003828,1
fig-012921,1
fig-004184,1
fig-004029,1
fig-003839,1
fig-015727,1
fig-004163,1
fig-015729,1
fig-010429,1
fig-003906,1
fig-001595,1
fig-003622,1
fig-003893,1
fig-003801,1
fig-003895,1
fig-003722,1
fig-015720,1
fig-003858,1
fig-003709,1
fig-003882,1
fig-010307,1
fig-010387,1
fig-010388,1
fig-011942,1
fig-000142,1
fig-003959,1
fig-003826,1
fig-003525,1
fig-000506,1
fig-012950,1
fig-016689,1
fig-012155,1
fig-012588,1
fig-003789,1
fig-004419,1
fig-004270,1
fig-003834,1
fig-003898,1
fig-004506,1
fig-004016,1
fig-003873,1
fig-003729,1
fig-003511,1
fig-004015,1
fig-003978,1
fig-003506,1
fig-004168,1
fig-002330,1
fig-003611,1
fig-003687,1
fig-003806,1
fig-003798,1
fig-003794,1
fig-003754,1
fig-003823,1
fig-003688,1
fig-003704,1
fig-004041,1
fig-003654,1
fig-003612,1
fig-003512,1
fig-014663,1
fig-003734,1
fig-014316,1
fig-004222,1
fig-002544,1
fig-004428,1
fig-004271,1
fig-015345,1
fig-012936,1
fig-004083,1
fig-004346,1
fig-003554,1
fig-002045,1
fig-015574,1
fig-003933,1
fig-012360,1
fig-003510,1
fig-004318,1
fig-003626,1
fig-004214,1
fig-004065,1
fig-001228,1
fig-016249,1
fig-004288,1
fig-003645,1
fig-000238,1
fig-003908,1
fig-003548,1
fig-004182,1
fig-004085,1
fig-004345,1
fig-001109,1
fig-004251,1
fig-014188,1
fig-003849,1
fig-013394,1
fig-011633,1
fig-000316,1
fig-004209,1
fig-011639,1
fig-014196,1
fig-010436,1
fig-010452,1
fig-004450,1
fig-004243,1
fig-003848,1
fig-004019,1
fig-003934,1
fig-010438,1
fig-010437,1
fig-010457,1
fig-012570,1
fig-015339,1
fig-000571,1
fig-012591,1
fig-002689,1
fig-010445,1
fig-001408,1
fig-002514,1
fig-001780,1
fig-004046,1
fig-003509,1
fig-003844,1
fig-012920,1
fig-003996,1
fig-015315,1
fig-014805,1
fig-004421,1
fig-002690,1
fig-003773,1
fig-004151,1
fig-010658,1
fig-014312,1
fig-014392,1
fig-003987,1
fig-003708,1
fig-004206,1
fig-003739,1
fig-004102,1
fig-004463,1
fig-010296,1
fig-012946,1
fig-004215,1
fig-004258,1
fig-016242,1
fig-004040,1
fig-014309,1
fig-003923,1
fig-003811,1
fig-000997,1
fig-004330,1
fig-004321,1
fig-001714,1
fig-012154,1
fig-000124,1
fig-003812,1
fig-004042,1
fig-004225,1
fig-003867,1
fig-003866,1
fig-003796,1
fig-004032,1
fig-016240,1
fig-003840,1
fig-014195,1
fig-003847,1
fig-003782,1
fig-016601,1
fig-011630,1
fig-003777,1
fig-012941,1
fig-003737,1
fig-014311,1
fig-003730,1
fig-013702,1
fig-002507,1
fig-004043,1
fig-004414,1
fig-004207,1
fig-003762,1
fig-004208,1
fig-004014,1
fig-003781,1
fig-004268,1
fig-013396,1
fig-013395,1
fig-016606,1
fig-003990,1
fig-015724,1
fig-015723,1
fig-003854,1
fig-003841,1
fig-001287,1
fig-015726,1
fig-004004,1
fig-001297,1
fig-000806,1
fig-000664,1
fig-004081,1
fig-003671,1
fig-001069,1
fig-013397,1
fig-004034,1
fig-003983,1
fig-004033,1
fig-012944,1
fig-012945,1
fig-003670,1
fig-003663,1
fig-010295,1
fig-014193,1
fig-014194,1
fig-003648,1
fig-004035,1
fig-003665,1
fig-004416,1
fig-004024,1
fig-003967,1
fig-010291,1
fig-014993,1
fig-000064,1
fig-010310,1
fig-003795,1
fig-004005,1
fig-014307,1
fig-004106,1
fig-004107,1
fig-000056,1
fig-004086,1
fig-000058,1
fig-004507,1
fig-000303,1
fig-003845,1
fig-003738,1
fig-003728,1
fig-003733,1
fig-012152,1
fig-003523,1
fig-000507,1
fig-014662,1
fig-003667,1
fig-003835,1
fig-003666,1
fig-003797,1
fig-003975,1
fig-004018,1
fig-004038,1
fig-003766,1
fig-003802,1
fig-004012,1
fig-016594,1
fig-015312,1
fig-004203,1
fig-002506,1
fig-003966,1
fig-016603,1
fig-004218,1
fig-004529,1
fig-004527,1
fig-004309,1
fig-002047,1
fig-004023,1
fig-003621,1
fig-003714,1
fig-004485,1
fig-011623,1
fig-004476,1
fig-004076,1
fig-003678,1
fig-003528,1
fig-003609,1
fig-011625,1
fig-016621,1
fig-015341,1
fig-015337,1
fig-014799,1
fig-003875,1
fig-003516,1
fig-003999,1
fig-003772,1
fig-001912,1
fig-014987,1
fig-004137,1
fig-011632,1
fig-000601,1
fig-016487,1
fig-001162,1
fig-015340,1
fig-004439,1
fig-000581,1
fig-003686,1
fig-003652,1
fig-003662,1
fig-004504,1
fig-015006,1
fig-000516,1
fig-003542,1
fig-003758,1
fig-003517,1
fig-001783,1
fig-003660,1
fig-003741,1
fig-004057,1
fig-013445,1
fig-002515,1
fig-004230,1
fig-010301,1
fig-014190,1
fig-011126,1
fig-010304,1
fig-002683,1
fig-012927,1
fig-004329,1
fig-002516,1
fig-001889,1
fig-003816,1
fig-003897,1
fig-016444,1
fig-016243,1
fig-003555,1
fig-004171,1
fig-003945,1
fig-004210,1
fig-001735,1
fig-010673,1
fig-010451,1
fig-010463,1
fig-010453,1
fig-015004,1
fig-003642,1
fig-003689,1
fig-004482,1
fig-003705,1
fig-004039,1
fig-003976,1
fig-004101,1
fig-003968,1
fig-004360,1
fig-004359,1
fig-004192,1
fig-014206,1
fig-003696,1
fig-003888,1
fig-004159,1
fig-003661,1
fig-003623,1
fig-010477,1
fig-014452,1
fig-012482,1
fig-012481,1
fig-012480,1
fig-003742,1
fig-012483,1
fig-011622,1
fig-003763,1
fig-004343,1
fig-004342,1
fig-004325,1
fig-003788,1
fig-003673,1
fig-003852,1
fig-013742,1
fig-002517,1
fig-002684,1
fig-010302,1
fig-003518,1
fig-010430,1
fig-004327,1
fig-003520,1
fig-003857,1
fig-003880,1
fig-003938,1
fig-004104,1
fig-015329,1
fig-004079,1
fig-003800,1
fig-012359,1
fig-011624,1
fig-015333,1
fig-004301,1
fig-001810,1
fig-004316,1
fig-000272,1
fig-004452,1
fig-004246,1
fig-014377,1
fig-014295,1
fig-004115,1
fig-004150,1
fig-004195,1
fig-004154,1
fig-001574,1
fig-004443,1
fig-010476,1
fig-004291,1
fig-004149,1
fig-004114,1
fig-004241,1
fig-004282,1
fig-004442,1
fig-004287,1
fig-010478,1
fig-010472,1
fig-016593,1
fig-003507,1
fig-003549,1
fig-012358,1
fig-015578,1
fig-003932,1
fig-010675,1
fig-011638,1
fig-014207,1
fig-003638,1
fig-004075,1
fig-014204,1
fig-010860,1
fig-003669,1
fig-003650,1
fig-003855,1
fig-004027,1
fig-004147,1
fig-004277,1
fig-011611,1
fig-003961,1
fig-003868,1
fig-004059,1
fig-010299,1
fig-011941,1
fig-004453,1
fig-000772,1
fig-003505,1
fig-003504,1
fig-000466,1
fig-003900,1
fig-003901,1
fig-014350,1
fig-010435,1
fig-010459,1
fig-010484,1
fig-011641,1
fig-013447,1
fig-010434,1
fig-010308,1
fig-015328,1
fig-012937,1
fig-002518,1
fig-003545,1
fig-004233,1
fig-003530,1
fig-004311,1
fig-004066,1
fig-010528,1
fig-011634,1
fig-004429,1
fig-010525,1
fig-004269,1
fig-004113,1
fig-000874,1
fig-003615,1
fig-002527,1
fig-000509,1
fig-003759,1
fig-003817,1
fig-012292,1
fig-003943,1
fig-003659,1
